code_period	code_present_place	date_receipt	fid	s40	year	quarter
21	214	2019-04-08	11899	0	2015	1
22	214	2019-04-08	11899	0	2015	2
23	214	2019-04-08	11899	0	2015	3
24	214	2019-04-08	11899	0	2015	4
22	214	2019-07-10	149602	405610	2017	2
22	214	2019-07-12	82269	0	2017	2
23	214	2019-07-12	106026	117059	2017	3
23	214	2019-07-11	39704	65306	2017	3
24	214	2019-07-10	35149	12858067	2017	4
24	214	2019-07-11	193190	86637	2017	4
24	214	2019-07-15	10489	110277	2017	4
24	214	2019-07-15	152416	63577	2017	4
24	214	2019-07-10	180488	0	2017	4
21	214	2019-07-12	82269	0	2018	1
21	214	2019-07-09	185686	0	2018	1
21	214	2019-07-09	114900	5896908	2018	1
21	214	2019-07-12	106026	212444	2018	1
21	214	2019-07-15	152170	236054	2018	1
22	214	2019-07-15	73865	3396	2018	2
22	214	2019-07-09	185686	5308250	2018	2
22	214	2019-07-12	18974	0	2018	2
23	214	2019-07-11	37321	16733	2018	3
23	214	2019-07-10	106835	0	2018	3
23	214	2019-07-10	131942	15789373	2018	3
23	214	2019-07-12	82269	0	2018	3
23	214	2019-07-11	150988	177947	2018	3
23	214	2019-07-12	18974	0	2018	3
23	214	2019-07-10	161914	143202	2018	3
23	214	2019-07-11	143398	12173386	2018	3
23	214	2019-07-09	185686	12557789	2018	3
23	214	2019-07-12	106026	184643	2018	3
23	214	2019-07-12	23481	8848988	2018	3
23	214	2019-07-09	169629	1	2018	3
23	214	2019-07-09	57440	559327	2018	3
23	214	2019-07-12	166495	807878	2018	3
24	214	2019-07-10	89763	679961	2018	4
24	214	2019-07-13	104892	143	2018	4
24	214	2019-07-09	177428	197586	2018	4
24	214	2019-07-09	53340	14612885	2018	4
24	214	2019-07-11	12255	0	2018	4
24	214	2019-07-12	106026	127517	2018	4
24	214	2019-07-10	94764	0	2018	4
24	214	2019-07-10	67879	894280	2018	4
24	214	2019-07-12	82269	0	2018	4
24	214	2019-07-12	184978	49402	2018	4
24	214	2019-07-15	126676	2466813	2018	4
21	214	2019-04-17	8536	0	2019	1
21	214	2019-04-10	9805	0	2019	1
21	214	2019-04-07	19370	0	2019	1
21	214	2019-04-04	24450	0	2019	1
21	214	2019-04-22	26089	81083	2019	1
21	214	2019-06-06	29455	3757	2019	1
21	214	2019-04-23	29827	489786	2019	1
21	214	2020-08-28	32091	35529	2019	1
21	214	2020-02-18	36605	6791	2019	1
21	214	2019-04-16	43955	42	2019	1
21	214	2019-04-15	46377	0	2019	1
21	214	2019-04-14	50220	0	2019	1
21	214	2019-04-22	52574	0	2019	1
21	214	2019-06-28	68623	0	2019	1
21	214	2019-06-23	68964	84604	2019	1
21	214	2019-05-24	80383	1169	2019	1
21	214	2019-06-06	81442	0	2019	1
21	214	2019-04-18	91475	0	2019	1
21	214	2019-04-24	98697	213870	2019	1
21	214	2020-02-11	104823	4703	2019	1
21	214	2019-04-14	107819	1756	2019	1
21	214	2019-04-16	136791	0	2019	1
21	214	2019-04-02	137963	0	2019	1
21	214	2019-04-18	138771	0	2019	1
21	214	2019-04-25	159676	0	2019	1
21	214	2019-04-22	165959	33358	2019	1
21	214	2019-04-22	167605	0	2019	1
21	214	2019-04-24	168739	60320	2019	1
21	214	2019-04-16	170921	0	2019	1
21	214	2019-04-15	186275	11063	2019	1
21	214	2020-01-14	187792	77305	2019	1
21	214	2019-04-21	190202	0	2019	1
21	214	2019-04-23	197294	852550	2019	1
21	214	2019-04-23	198923	0	2019	1
21	214	2019-04-25	16149	42839	2019	1
21	214	2019-04-22	18805	0	2019	1
21	214	2019-04-11	25953	0	2019	1
21	214	2019-04-02	44215	0	2019	1
21	214	2019-04-23	49931	0	2019	1
21	214	2019-04-24	55046	0	2019	1
21	214	2019-04-19	56521	0	2019	1
21	214	2019-04-20	66420	0	2019	1
21	214	2019-04-24	75763	0	2019	1
21	214	2019-04-18	79941	76337	2019	1
21	214	2019-04-25	82190	13333	2019	1
21	214	2019-04-29	86943	0	2019	1
21	214	2019-06-06	87889	20691	2019	1
21	214	2019-08-08	91607	0	2019	1
21	214	2019-04-15	92058	0	2019	1
21	214	2019-04-10	92424	123591	2019	1
21	214	2019-04-22	96478	20070	2019	1
21	214	2019-04-17	96602	0	2019	1
21	214	2019-04-17	105883	658348	2019	1
21	214	2019-06-25	106367	12	2019	1
21	214	2019-07-15	107705	35395	2019	1
21	214	2019-04-11	107762	0	2019	1
21	214	2019-04-26	125442	0	2019	1
21	214	2019-04-22	127672	0	2019	1
21	214	2019-04-25	132570	0	2019	1
21	214	2019-04-24	139803	0	2019	1
21	214	2019-04-09	140603	0	2019	1
21	214	2019-04-22	141213	0	2019	1
21	214	2019-06-11	150433	432063	2019	1
21	214	2019-04-23	150973	1884398	2019	1
21	214	2019-04-22	162454	0	2019	1
21	214	2019-04-24	165955	204673	2019	1
21	214	2019-04-25	167177	8038263	2019	1
21	231	2019-11-27	168291	0	2019	1
21	214	2020-01-30	169736	19982	2019	1
21	214	2019-04-10	170616	0	2019	1
21	214	2019-04-18	179876	8919	2019	1
21	214	2019-04-15	190547	5671	2019	1
21	214	2019-04-22	199616	0	2019	1
21	214	2019-04-23	9948	21310	2019	1
21	214	2019-04-25	14671	28055	2019	1
21	214	2019-04-04	22908	0	2019	1
21	214	2019-04-22	55091	1958	2019	1
21	214	2019-08-16	62579	2260651	2019	1
21	214	2019-04-22	71880	0	2019	1
21	214	2019-04-05	77988	0	2019	1
21	214	2019-04-05	87119	0	2019	1
21	214	2019-04-16	87333	0	2019	1
21	214	2019-04-25	93250	0	2019	1
21	214	2020-03-25	94556	88901	2019	1
